"query","calls","total_time","class","operation_type"
"UPDATE ""users"" SET ""updated_at"" = ?, ""last_date_accessed"" = ? WHERE ""users"".""id"" = ?","1262","8155.886","TouchUserWorker","UPDATE"
"UPDATE ""users"" SET ""aad_user_type"" = ?, ""updated_at"" = ? WHERE ""users"".""id"" = ?","2300","7459.85200000001","Api::Int::Msods::V1::MsodsUsersController","UPDATE"
"UPDATE ""users"" SET ""department_id"" = ?, ""updated_at"" = ? WHERE ""users"".""id"" = ?","2228","7148.03300000001","Api::Int::Msods::V1::MsodsUsersController","UPDATE"
"UPDATE ""users"" SET ""suspended_at"" = ?, ""state"" = ?, ""suspension_reason"" = ?, ""updated_at"" = ? WHERE ""users"".""id"" = ?","1310","4893.04700000001","Api::Int::Msods::V1::MsodsUsersController","UPDATE"
"UPDATE ""users"" SET ""activated_at"" = ?, ""state"" = ?, ""updated_at"" = ?, ""first_activated_at"" = ? WHERE ""users"".""id"" = ?","1653","3008.175","Api::Int::UsersController","UPDATE"
"UPDATE ""users"" SET ""state"" = ?, ""updated_at"" = ?, ""suspended_at"" = ?, ""suspension_reason"" = ? WHERE ""users"".""id"" = ?","685","2474.714","Api::Int::Msods::V1::MsodsUsersController","UPDATE"
"UPDATE ""users"" SET ""updated_at"" = ?, ""last_date_accessed"" = ? WHERE ""users"".""id"" = ?","422","2273.847","TouchUserWorker","UPDATE"
"UPDATE ""users"" SET ""full_name"" = ?, ""updated_at"" = ? WHERE ""users"".""id"" = ?","538","1623.304","Api::Int::Msods::V1::MsodsUsersController","UPDATE"
"UPDATE ""users"" SET ""office_user_id"" = ?, ""updated_at"" = ? WHERE ""users"".""id"" = ?","1570","1574.531","Api::Int::Vents::UserMappingsController","UPDATE"
"UPDATE ""users"" SET ""updated_at"" = ?, ""clicked_activation_link_at"" = ? WHERE ""users"".""id"" = ?","1651","954.624000000001","Api::Int::UsersController","UPDATE"
"UPDATE ""users"" SET ""timezone"" = ?, ""updated_at"" = ? WHERE ""users"".""id"" = ?","123","675.208","Api::V1::UsersController","UPDATE"
"UPDATE ""users"" SET ""aad_user_type"" = ?, ""updated_at"" = ? WHERE ""users"".""id"" = ?","112","570.512","Api::Int::Msods::V1::MsodsUsersController","UPDATE"
"UPDATE ""users"" SET ""updated_at"" = ?, ""msods_synced_admin"" = ? WHERE ""users"".""id"" = ?","66","473.387","Api::Int::Msods::NetworksController","UPDATE"
"UPDATE ""users"" SET ""msods_synced_admin"" = ?, ""updated_at"" = ? WHERE ""users"".""id"" = ?","132","432.471","Api::Int::Msods::NetworksController","UPDATE"
"UPDATE ""users"" SET ""followers_count"" = ?, ""updated_at"" = ? WHERE ""users"".""id"" = ?","69","379.083","GenericJob","UPDATE"
"UPDATE ""users"" SET ""updated_at"" = ?, ""full_name"" = ? WHERE ""users"".""id"" = ?","32","350.367","Api::Int::Msods::V1::MsodsUsersController","UPDATE"
"UPDATE ""users"" SET ""activated_at"" = ?, ""state"" = ?, ""updated_at"" = ?, ""suspended_at"" = ?, ""suspension_reason"" = ? WHERE ""users"".""id"" = ?","200","345.024","Api::Int::Msods::V1::MsodsUsersController","UPDATE"
"UPDATE ""users"" SET ""department_id"" = ?, ""updated_at"" = ? WHERE ""users"".""id"" = ?","114","340.778","Api::Int::Msods::V1::MsodsUsersController","UPDATE"
"UPDATE ""users"" SET ""state"" = ?, ""updated_at"" = ? WHERE ""users"".""id"" = ?","154","299.174","Api::Int::Vents::DataDeletion::DataDeletionController","UPDATE"
"UPDATE ""users"" SET ""usage_policy_version"" = ?, ""updated_at"" = ? WHERE ""users"".""id"" = ?","84","279.46","Api::V1::UsagePolicyController","UPDATE"
"UPDATE ""users"" SET ""updated_at"" = ?, ""followers_count"" = ? WHERE ""users"".""id"" = ?","43","212.545","GenericJob","UPDATE"
"UPDATE ""users"" SET ""followers_count"" = ?, ""updated_at"" = ? WHERE ""users"".""id"" = ?","29","211.445","GenericJob","UPDATE"
"UPDATE ""users"" SET ""department_id"" = ?, ""updated_at"" = ? WHERE ""users"".""id"" = ?","74","185.689","Api::Int::Msods::V1::MsodsUsersController","UPDATE"
"UPDATE ""users"" SET ""updated_at"" = ?, ""permalink"" = ?, ""full_name"" = ?, ""timezone"" = ? WHERE ""users"".""id"" = ?","138","115.315","Api::Int::Vents::DataDeletion::DataDeletionController","UPDATE"
"UPDATE ""users"" SET ""updated_at"" = ?, ""followers_count"" = ? WHERE ""users"".""id"" = ?","15","113.872","GenericJob","UPDATE"
"UPDATE ""users"" SET ""msods_synced_admin"" = ?, ""updated_at"" = ? WHERE ""users"".""id"" = ?","23","92.682","Api::Int::Msods::NetworksController","UPDATE"
"UPDATE ""users"" SET ""activated_at"" = ?, ""suspended_at"" = ?, ""suspension_reason"" = ?, ""state"" = ?, ""updated_at"" = ? WHERE ""users"".""id"" = ?","45","62.741","Api::Int::UsersController","UPDATE"
"UPDATE ""users"" SET ""department_id"" = ?, ""updated_at"" = ? WHERE ""users"".""id"" = ?","8","30.489","Api::Int::Msods::V1::MsodsUsersController","UPDATE"
"UPDATE ""users"" SET ""suspended_at"" = ?, ""state"" = ?, ""suspension_reason"" = ?, ""updated_at"" = ? WHERE ""users"".""id"" = ?","7","20.276","Api::Int::Msods::V1::MsodsUsersController","UPDATE"
"UPDATE ""users"" SET ""timezone"" = ?, ""updated_at"" = ? WHERE ""users"".""id"" = ?","5","17.043","Api::Int::Vents::DataDeletion::DataDeletionController","UPDATE"
